ORDER_DATE,CAR_NUM,VISIT_ORDER,LAT,LON
20220424,CD03,0,1.31895,103.89445
20220424,CD03,1,1.3702,103.87204
20220424,CD03,2,1.3702,103.87204
20220424,CD03,3,1.37256,103.87571
20220424,CD03,4,1.35402,103.86425
20220424,CD03,5,1.3718,103.84778
20220424,CD03,6,1.3718,103.84778
20220424,CD03,7,1.37589,103.85562
20220424,CD03,8,1.3718,103.84778
20220424,CD03,9,1.3718,103.84778
20220424,CD03,10,1.37792,103.87541
20220424,CD03,11,1.37688,103.84729
20220424,CD03,12,1.37688,103.84729
20220424,CD03,13,1.3718,103.84778
20220424,CD03,14,1.37589,103.85562
20220424,CD03,15,1.3718,103.84778
20220424,CD03,16,1.31895,103.89445
20220424,CD04,0,1.31895,103.89445
20220424,CD04,1,1.31799,103.85658
20220424,CD04,2,1.33248,103.85
20220424,CD04,3,1.32253,103.85523
20220424,CD04,4,1.31976,103.85999
20220424,CD04,5,1.32065,103.84437
20220424,CD04,6,1.32637,103.85313
20220424,CD04,7,1.32887,103.85867
20220424,CD04,8,1.32171,103.85336
20220424,CD04,9,1.32129,103.85495
20220424,CD04,10,1.31895,103.89445
20220424,CE07,0,1.31895,103.89445
20220424,CE07,1,1.31079,103.85479
20220424,CE07,2,1.31674,103.85239
20220424,CE07,3,1.31705,103.85241
20220424,CE07,4,1.31054,103.85266
20220424,CE07,5,1.30413,103.83845
20220424,CE07,6,1.30278,103.8403
20220424,CE07,7,1.31895,103.89445
20220424,CA05,0,1.31895,103.89445
20220424,CA05,1,1.32533,103.90931
20220424,CA05,2,1.32103,103.90547
20220424,CA05,3,1.31517,103.90538
20220424,CA05,4,1.3011,103.88334
20220424,CA05,5,1.30147,103.90516
20220424,CA05,6,1.34273,103.94368
20220424,CA05,7,1.31895,103.89445
20220424,CC08,0,1.31895,103.89445
20220424,CC08,1,1.33653,103.70453
20220424,CC08,2,1.34466,103.70462
20220424,CC08,3,1.34326,103.70543
20220424,CC08,4,1.34058,103.70626
20220424,CC08,5,1.34363,103.70561
20220424,CC08,6,1.34517,103.71801
20220424,CC08,7,1.34517,103.71801
20220424,CC08,8,1.34517,103.71801
20220424,CC08,9,1.34522,103.71801
20220424,CC08,10,1.34577,103.72289
20220424,CC08,11,1.34291,103.71227
20220424,CC08,12,1.32751,103.7634
20220424,CC08,13,1.34299,103.71384
20220424,CC08,14,1.35646,103.7081
20220424,CC08,15,1.31895,103.89445
20220424,CE05,0,1.31895,103.89445
20220424,CE05,1,1.29927,103.85352
20220424,CE05,2,1.29782,103.85022
20220424,CE05,3,1.30066,103.84934
20220424,CE05,4,1.30066,103.84934
20220424,CE05,5,1.30066,103.84934
20220424,CE05,6,1.29234,103.85088
20220424,CE05,7,1.29131,103.85125
20220424,CE05,8,1.29187,103.85013
20220424,CE05,9,1.29001,103.84943
20220424,CE05,10,1.29001,103.84943
20220424,CE05,11,1.29686,103.8558
20220424,CE05,12,1.29565,103.85491
20220424,CE05,13,1.35208,103.81984
20220424,CE05,14,1.3031,103.85303
20220424,CE05,15,1.35208,103.81984
20220424,CE05,16,1.30304,103.85292
20220424,CE05,17,1.30304,103.85292
20220424,CE05,18,1.30304,103.85292
20220424,CE05,19,1.30304,103.85292
20220424,CE05,20,1.30304,103.85292
20220424,CE05,21,1.30304,103.85292
20220424,CE05,22,1.29888,103.85202
20220424,CE05,23,1.29888,103.85202
20220424,CE05,24,1.31895,103.89445
20220424,DT07,0,1.31895,103.89445
20220424,DT07,1,1.32554,103.6831
20220424,DT07,2,1.30092,103.74844
20220424,DT07,3,1.30092,103.74844
20220424,DT07,4,1.30573,103.75924
20220424,DT07,5,1.30573,103.75924
20220424,DT07,6,1.30573,103.75924
20220424,DT07,7,1.31895,103.89445
20220424,CB07,0,1.31895,103.89445
20220424,CB07,1,1.45293,103.79489
20220424,CB07,2,1.45062,103.81094
20220424,CB07,3,1.43343,103.8
20220424,CB07,4,1.43719,103.7926
20220424,CB07,5,1.43772,103.79034
20220424,CB07,6,1.44063,103.78244
20220424,CB07,7,1.44678,103.7725
20220424,CB07,8,1.44712,103.77209
20220424,CB07,9,1.44533,103.77644
20220424,CB07,10,1.44533,103.77644
20220424,CB07,11,1.45524,103.81175
20220424,CB07,12,1.45449,103.80933
20220424,CB07,13,1.44957,103.80804
20220424,CB07,14,1.44925,103.80759
20220424,CB07,15,1.45398,103.79589
20220424,CB07,16,1.45106,103.79324
20220424,CB07,17,1.45307,103.80395
20220424,CB07,18,1.44311,103.78132
20220424,CB07,19,1.44311,103.78132
20220424,CB07,20,1.44311,103.78132
20220424,CB07,21,1.44311,103.78132
20220424,CB07,22,1.44311,103.78132
20220424,CB07,23,1.31895,103.89445
20220424,CB01,0,1.31895,103.89445
